school,district,city,enroll12,number_taker,reading,english,math,science
Corcoran High,Corcoran Joint Unified,Kings,169.0,40.0,18.0,17.0,18.0,19.0
Cordova High,Folsom-Cordova Unified,Sacramento,386.0,23.0,23.0,23.0,22.0,21.0
Corning High,Corning Union High,Tehama,206.0,113.0,18.0,18.0,18.0,17.0
Corona del Mar High,Newport-Mesa Unified,Orange,458.0,300.0,27.0,28.0,26.0,26.0
Corona High,Corona-Norco Unified,Riverside,581.0,108.0,19.0,18.0,19.0,19.0
Coronado High,Coronado Unified,San Diego,291.0,128.0,26.0,25.0,25.0,25.0
Costa Mesa High,Newport-Mesa Unified,Orange,286.0,30.0,24.0,23.0,21.0,22.0
Cosumnes Oaks High,Elk Grove Unified,Sacramento,580.0,143.0,24.0,23.0,23.0,23.0
Crawford High,San Diego Unified,San Diego,218.0,37.0,19.0,18.0,18.0,19.0
Crenshaw Science Technology Engineering Math and Medicine Magnet,Los Angeles Unified,Los Angeles,216.0,33.0,16.0,14.0,16.0,15.0
Crescenta Valley High,Glendale Unified,Los Angeles,631.0,143.0,27.0,27.0,26.0,26.0
Culver City High,Culver City Unified,Los Angeles,526.0,147.0,24.0,24.0,22.0,23.0
Cupertino High,Fremont Union High,Santa Clara,625.0,209.0,29.0,30.0,30.0,29.0
Cypress High,Anaheim Union High,Orange,713.0,105.0,26.0,25.0,26.0,25.0
Da Vinci Communications,Wiseburn Unified,Los Angeles,94.0,44.0,17.0,16.0,17.0,17.0
Da Vinci Design,Wiseburn Unified,Los Angeles,164.0,33.0,19.0,20.0,18.0,18.0
Da Vinci Science,Wiseburn Unified,Los Angeles,159.0,43.0,25.0,24.0,22.0,23.0
Dana Hills High,Capistrano Unified,Orange,669.0,213.0,27.0,27.0,26.0,26.0
Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,71.0,23.0,24.0,24.0,22.0,22.0
David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,87.0,16.0,18.0,16.0,17.0,18.0
Davis Senior High,Davis Joint Unified,Yolo,569.0,144.0,28.0,28.0,28.0,27.0
De Anza High,West Contra Costa Unified,Contra Costa,332.0,55.0,20.0,19.0,18.0,19.0
Deer Valley High,Antioch Unified,Contra Costa,533.0,47.0,23.0,21.0,22.0,21.0
Del Campo High,San Juan Unified,Sacramento,371.0,36.0,22.0,22.0,21.0,20.0
Del Lago Academy - Campus of Applied Science,Escondido Union High,San Diego,178.0,65.0,22.0,21.0,21.0,22.0
Del Mar High,Campbell Union High,Santa Clara,290.0,67.0,21.0,20.0,19.0,21.0
Del Norte High,Poway Unified,San Diego,515.0,211.0,28.0,28.0,27.0,27.0
Del Oro High,Placer Union High,Placer,410.0,110.0,25.0,24.0,24.0,24.0
Delano High,Delano Joint Union High,Kern,339.0,110.0,18.0,17.0,19.0,18.0
Delhi High,Delhi Unified,Merced,167.0,68.0,18.0,17.0,17.0,18.0
Desert Hot Springs High,Palm Springs Unified,Riverside,417.0,46.0,17.0,16.0,16.0,18.0
Desert Mirage High,Coachella Valley Unified,Riverside,459.0,97.0,17.0,16.0,17.0,17.0
Design Science Middle College High,Fresno Unified,Fresno,63.0,58.0,21.0,20.0,21.0,20.0
Design Tech High,San Mateo Union High,San Mateo,120.0,33.0,29.0,29.0,26.0,28.0
Diamond Bar High,Walnut Valley Unified,Los Angeles,749.0,188.0,28.0,28.0,29.0,27.0
Diamond Ranch High,Pomona Unified,Los Angeles,377.0,82.0,23.0,22.0,21.0,22.0
Dinuba High,Dinuba Unified,Tulare,423.0,96.0,18.0,16.0,17.0,19.0
Dixon High,Dixon Unified,Solano,246.0,67.0,21.0,20.0,21.0,20.0
Dominguez High,Compton Unified,Los Angeles,391.0,268.0,15.0,14.0,16.0,15.0
Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432.0,22.0,21.0,22.0,21.0,21.0
Dos Pueblos Senior High,Santa Barbara Unified,Santa Barbara,486.0,155.0,25.0,25.0,25.0,24.0
Dougherty Valley High,San Ramon Valley Unified,Contra Costa,766.0,294.0,30.0,30.0,30.0,29.0
Downey High,Downey Unified,Los Angeles,1050.0,87.0,23.0,22.0,22.0,22.0
Downtown Business High,Los Angeles Unified,Los Angeles,203.0,102.0,22.0,21.0,22.0,22.0
Downtown College Prep - Alum Rock,Santa Clara County Office of Education,Santa Clara,61.0,38.0,17.0,16.0,17.0,17.0
Downtown College Preparatory,San Jose Unified,Santa Clara,85.0,57.0,16.0,15.0,16.0,17.0
Dozier-Libbey Medical High,Antioch Unified,Contra Costa,143.0,19.0,23.0,21.0,21.0,21.0
Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,147.0,27.0,17.0,15.0,16.0,16.0
