school,number_applicants,accept_rate,sat_25_75,act_25_75,act_25th,act_75th,sat_25th,sat_75th
Adelphi University,13006,74.2,1080-1270,22-27,22.0,27.0,1080.0,1270.0
Baldwin Wallace University,3926,74.2,1030-1250,21-27,21.0,27.0,1030.0,1250.0
Michigan Technological University,5978,74.3,1170-1370,25-30,25.0,30.0,1170.0,1370.0
Drexel University,31824,74.7,1190-1390,25-31,25.0,31.0,1190.0,1390.0
University of Redlands,4713,75.0,1100-1250,23-28,23.0,28.0,1100.0,1250.0
Loyola University New Orleans,5857,75.0,1050-1260,22-28,22.0,28.0,1050.0,1260.0
California State University--Monterey Bay,12327,75.3,960-1170,17-23,17.0,23.0,960.0,1170.0
Whittier College,6220,75.9,1030-1213,20-25,20.0,25.0,1030.0,1213.0
Kalamazoo College,3576,76.0,1170-1370,25-31,25.0,31.0,1170.0,1370.0
Towson University,12678,76.3,1060-1220,20-25,20.0,25.0,1060.0,1220.0
Centre College,2212,76.4,1130-1380,26-32,26.0,32.0,1130.0,1380.0
University of Texas San Antonio,17122,76.6,1030-1220,19-25,19.0,25.0,1030.0,1220.0
Ball State,23305,76.7,--,--,0.0,0.0,0.0,0.0
James Madison University,23578,76.8,1120-1290,23-28,23.0,28.0,1120.0,1290.0
Appalachian State University,16664,76.8,1100-1270,22-28,22.0,28.0,1100.0,1270.0
Indiana University—​Bloomington,44169,76.9,1150-1360,24-31,24.0,31.0,1150.0,1360.0
High Point University,10098,76.9,1090-1250,22-27,22.0,27.0,1090.0,1250.0
Virginia Commonwealth University,18622,77.1,1070-1260,21-28,21.0,28.0,1070.0,1260.0
University of Arkansas—​Fayetteville,17913,77.1,1120-1300,23-30,23.0,30.0,1120.0,1300.0
John Brown University,1094,77.1,1060-1365,23-30,23.0,30.0,1060.0,1365.0
University of Idaho,8071,77.8,1010-1240,20-27,20.0,27.0,1010.0,1240.0
University of Missouri,18948,77.8,1090-1290,23-29,23.0,29.0,1090.0,1290.0
Willamette University,3972,77.9,1140-1340,31-35,31.0,35.0,1140.0,1340.0
University of Nebraska—​Lincoln,16829,78.2,1120-1360,22-28,22.0,28.0,1120.0,1360.0
Carroll College,2709,78.3,1070-1270,22-28,22.0,28.0,1070.0,1270.0
College of Charleston,11783,78.3,1080-1260,22-28,22.0,28.0,1080.0,1260.0
University of Colorado—​Boulder,40740,78.4,1140-1350,25-31,25.0,31.0,1140.0,1350.0
Elon University,10500,78.4,1160-1320,25-30,25.0,30.0,1160.0,1320.0
Seattle University,7968,78.5,1160-1330,24-30,24.0,30.0,1160.0,1330.0
University of Texas—​Dallas,14327,78.6,1240-1460,26-33,26.0,33.0,1240.0,1460.0
East Carolina,19234,78.7,1030-1190,19-24,19.0,24.0,1030.0,1190.0
University of Tennessee,21764,78.8,1150-1330,24-30,24.0,30.0,1150.0,1330.0
University of Texas Arlington,12335,79.5,1060-1260,20-26,20.0,26.0,1060.0,1260.0
Pacific Lutheran University,3740,79.8,1070-1270,20-28,20.0,28.0,1070.0,1270.0
Western Michigan,17698,79.9,1000-1210,19-26,19.0,26.0,1000.0,1210.0
Loyola University Maryland,10077,80.2,1143-1320,25-30,25.0,30.0,1143.0,1320.0
Miami University—​Oxford,28920,80.4,1210-1410,26-31,26.0,31.0,1210.0,1410.0
Goucher College,3154,80.4,1040-1290,22-29,22.0,29.0,1040.0,1290.0
University of Oklahoma,15673,80.4,1130-1310,23-29,23.0,29.0,1130.0,1310.0
Auburn University,20205,80.7,1150-1320,25-31,25.0,31.0,1150.0,1320.0
University of Nevada—​Las Vegas,12720,80.7,1030-1250,19-25,19.0,25.0,1030.0,1250.0
Boise State,10788,80.8,960-1180,21-26,21.0,26.0,960.0,1180.0
St. Mary's College of California,6069,81.0,1070-1240,22-28,22.0,28.0,1070.0,1240.0
Siena College,7728,81.1,1070-1280,22-28,22.0,28.0,1070.0,1280.0
University of North Dakota,4964,81.1,1010-1250,20-26,20.0,26.0,1010.0,1250.0
Texas State University,23583,81.1,1010-1180,19.3-25.3,19.3,25.3,1010.0,1180.0
Colorado State University,28319,81.4,1070-1290,23-29,23.0,29.0,1070.0,1290.0
University of Memphis,15381,81.4,1010-1230,19-26,19.0,26.0,1010.0,1230.0
West Virginia University,18639,81.6,1050-1240,21-27,21.0,27.0,1050.0,1240.0
University of Oregon,27358,81.6,1100-1310,22-28,22.0,28.0,1100.0,1310.0
University of St. Thomas (MN),6819,81.9,1130-1380,24-29,24.0,29.0,1130.0,1380.0
St. Mary's College (IN),1862,81.9,1050-1260,22-28,22.0,28.0,1050.0,1260.0
Illinois State,16151,81.9,1020-1220,20-26,20.0,26.0,1020.0,1220.0
Ohio University,24179,82.1,1050-1260,21-26,21.0,26.0,1050.0,1260.0
California State University--Sacramento,27576,82.3,940-1140,16-22,16.0,22.0,940.0,1140.0
University of North Carolina—​Greensboro,9972,82.4,1000-1160,19-24,19.0,24.0,1000.0,1160.0
University of Iowa,25928,82.6,1130-1340,22-29,22.0,29.0,1130.0,1340.0
St. Michael's College,4040,82.6,1140-1320,25-29,25.0,29.0,1140.0,1320.0
University of Alaska Anchorage,3673,83.0,1020-1220,17-24,17.0,24.0,1020.0,1220.0
Marquette University,15078,83.0,1120-1320,24-29,24.0,29.0,1120.0,1320.0
College of St. Benedict,1931,83.4,990-1210,22-27,22.0,27.0,990.0,1210.0
Oregon State University,15786,83.6,1080-1320,21-28,21.0,28.0,1080.0,1320.0
The Catholic University of America,6096,83.7,1140-1320,24-30,24.0,30.0,1140.0,1320.0
University of Puget Sound,5182,83.8,1150-1370,25-30,25.0,30.0,1150.0,1370.0
University of New Hampshire,18040,84.0,1070-1270,22-28,22.0,28.0,1070.0,1270.0
Missouri University of Science & Technology,4333,84.2,1180-1380,25-31,25.0,31.0,1180.0,1380.0
St. Mary's College of Maryland,1621,84.3,1060-1290,21-29,21.0,29.0,1060.0,1290.0
University of Arizona,40854,84.6,1120-1350,21-29,21.0,29.0,1120.0,1350.0
Susquehanna University,4863,84.8,1100-1290,22-28,22.0,28.0,1100.0,1290.0
Arizona State University—​Tempe,26869,84.8,1130-1360,22-29,22.0,29.0,1130.0,1360.0
Wheaton College (IL),1889,84.8,1220-1440,26-32,26.0,32.0,1220.0,1440.0
Northern Arizona,36855,85.0,1030-1230,19-25,19.0,25.0,1030.0,1230.0
Washington and Jefferson College,2722,85.2,1090-1280,22-28,22.0,28.0,1090.0,1280.0
Kent State,16308,85.5,1040-1230,20-26,20.0,26.0,1040.0,1230.0
Mills College,1003,85.5,1008-1240,21-29,21.0,29.0,1008.0,1240.0
Hope College,3748,85.7,1130-1330,23-31,23.0,31.0,1130.0,1330.0
Valparaiso University,5491,85.8,1070-1290,22-29,22.0,29.0,1070.0,1290.0
George Mason University,19554,86.7,1110-1320,24-30,24.0,30.0,1110.0,1320.0
Old Dominion,13335,87.0,990-1200,18-24,18.0,24.0,990.0,1200.0
Missouri State,7581,87.9,1040-1240,21-27,21.0,27.0,1040.0,1240.0
University of Wisconsin Milwaukee,8280,88.5,1000-1398,20-25,20.0,25.0,1000.0,1398.0
Transylvania University,1702,88.7,1100-1310,24-30,24.0,30.0,1100.0,1310.0
Weber State,6853,89.1,--,18-24,18.0,24.0,0.0,0.0
University of Maine,13118,90.2,1050-1260,21-27,21.0,27.0,1050.0,1260.0
Humboldt State University,16335,90.9,980-1190,17-25,17.0,25.0,980.0,1190.0
Utah State,15276,91.0,1050-1310,21-28,21.0,28.0,1050.0,1310.0
Iowa State University,18246,92.1,1100-1340,22-28,22.0,28.0,1100.0,1340.0
Washington College,2225,92.4,1090-1300,20-29,20.0,29.0,1090.0,1300.0
University of Montana,6182,92.6,1060-1270,21-26,21.0,26.0,1060.0,1270.0
Samford University,3912,92.9,1070-1250,23-29,23.0,29.0,1070.0,1250.0
University of Kansas,15093,93.1,--,23-29,23.0,29.0,0.0,0.0
University of Kentucky,19324,94.5,1080-1300,23-29,23.0,29.0,1080.0,1300.0
University of Toledo,10228,95.1,1000-1240,20-26,20.0,26.0,1000.0,1240.0
Kansas State University,8140,95.7,--,22-28,22.0,28.0,0.0,0.0
Portland State,7821,96.1,1010-1230,18-25,18.0,25.0,1010.0,1230.0
Queens University of Charlotte,2319,96.2,1040-1240,21-27,21.0,27.0,1040.0,1240.0
Western Kentucky,8245,97.3,990-1220,19-27,19.0,27.0,990.0,1220.0
United States Naval Academy,16332,8.3,1240-1520,27-32,27.0,32.0,1240.0,1520.0
United States Military Academy,11675,10.3,1160-1380,25-30,25.0,30.0,1160.0,1380.0
United States Air Force Academy,10354,11.1,1230-1440,28-33,28.0,33.0,1230.0,1440.0
United States Coast Guard Academy,2274,12.8,1245-1420,26-31,26.0,31.0,1245.0,1420.0
United States Merchant Maritime Academy,1693,24.8,1200-1340,25-31,25.0,31.0,1200.0,1340.0
Howard University,20946,31.6,1140-1285,22-27,22.0,27.0,1140.0,1285.0
Florida State University,58936,36.0,1200-1340,26-30,26.0,30.0,1200.0,1340.0
Hillsdale College,2208,36.0,1275-1465,29-32,29.0,32.0,1275.0,1465.0
University of Central Florida,35240,38.2,1160-1340,25-29,25.0,29.0,1160.0,1340.0
University of Florida,38905,38.8,1280-1440,27-32,27.0,32.0,1280.0,1440.0
University of South Florida,36986,47.7,1170-1330,25-29,25.0,29.0,1170.0,1330.0
Gallaudet University,496,57.1,793-1078,15-20,15.0,20.0,793.0,1078.0
Florida International,18492,57.5,1240-1300,23-28,23.0,28.0,1240.0,1300.0
Morehouse College,3554,57.9,1010-1210,20-25,20.0,25.0,1010.0,1210.0
University of Alabama,37302,59.1,1060-1280,23-31,23.0,31.0,1060.0,1280.0
Milwaukee School of Engineering,3552,61.7,--,25-30,25.0,30.0,0.0,0.0
Florida Institute of Technology,9743,65.7,1150-1360,24-30,24.0,30.0,1150.0,1360.0
Louisiana State University—​Baton Rouge,24501,74.6,1080-1310,23-29,23.0,29.0,1080.0,1310.0
The Citadel,2742,74.7,1050-1230,20-25,20.0,25.0,1050.0,1230.0
New College of Florida,1340,76.8,1220-1420,26-31,26.0,31.0,1220.0,1420.0
Thomas Aquinas College,211,77.7,1220-1400,25-30,25.0,30.0,1220.0,1400.0
University of Texas Rio Grande Valley,10680,79.8,950-1130,17-22,17.0,22.0,950.0,1130.0
University of South Dakota,4434,86.4,990-1180,19-25,19.0,25.0,990.0,1180.0
University of Mississippi,15371,88.1,1050-1270,21-29,21.0,29.0,1050.0,1270.0
University of Wyoming,5348,96.0,1060-1280,22-28,22.0,28.0,1060.0,1280.0
University of Texas El Paso,7157,99.9,820-1050,17-23,17.0,23.0,820.0,1050.0
